| ACCESSIBLE? | gparser.zil | | |
| ACLAUSE-WIN | gparser.zil | | |
| AWAKEN | 1actions.zil | | |
| AXE-F | 1actions.zil | | |
| BAD-EGG | 1actions.zil | | |
| BAG-OF-COINS-F | 1actions.zil | | |
| BARROW-DOOR-FCN | 1actions.zil | | |
| BARROW-FCN | 1actions.zil | | |
| BASKET-F | 1actions.zil | | |
| BAT-D | 1actions.zil | | |
| BAT-F | 1actions.zil | | |
| BATS-ROOM | 1actions.zil | | |
| BELL-F | 1actions.zil | | |
| BLACK-BOOK | 1actions.zil | | |
| BOARD-F | 1actions.zil | | |
| BOARDED-WINDOW-FCN | 1actions.zil | | |
| BODY-FUNCTION | 1actions.zil | | |
| BOLT-F | 1actions.zil | | |
| BOOM-ROOM | 1actions.zil | | |
| BOTTLE-FUNCTION | 1actions.zil | | |
| BREATHE | 1actions.zil | | |
| BUBBLE-F | 1actions.zil | | |
| BUFFER-PRINT | gparser.zil | | |
| BUT-MERGE | gparser.zil | | |
| BUTTON-F | 1actions.zil | | |
| CANARY-OBJECT | 1actions.zil | | |
| CANDLES-FCN | 1actions.zil | | |
| CANT-ORPHAN | gparser.zil | | |
| CANT-USE | gparser.zil | | |
| CANYON-VIEW-F | 1dungeon.zil | | |
| CAVE2-ROOM | 1actions.zil | | |
| CCOUNT | gverbs.zil | | |
| CELLAR-FCN | 1actions.zil | | |
| CHAIN-PSEUDO | 1actions.zil | | |
| CHALICE-FCN | 1actions.zil | | |
| CHASM-PSEUDO | 1actions.zil | | |
| CHIMNEY-F | 1actions.zil | | |
| CLAUSE | gparser.zil | | |
| CLAUSE-ADD | gparser.zil | | |
| CLAUSE-COPY | gparser.zil | | |
| CLEARING-FCN | 1actions.zil | | |
| CLIFF-OBJECT | 1actions.zil | | |
| CLOCKER | gclock.zil | | |
| CRACK-FCN | 1actions.zil | | |
| CRETIN-FCN | gglobals.zil | | |
| CYCLOPS-FCN | 1actions.zil | | |
| CYCLOPS-ROOM-FCN | 1actions.zil | | |
| DAM-FUNCTION | 1actions.zil | | |
| DAM-ROOM-FCN | 1actions.zil | | |
| DBOAT-FUNCTION | 1actions.zil | | |
| DD-APPLY | gmain.zil | | |
| DEAD-FUNCTION | 1actions.zil | | |
| DEEP-CANYON-F | 1actions.zil | | |
| DEPOSIT-BOOTY | 1actions.zil | | |
| DESCRIBE-OBJECT | gverbs.zil | | |
| DESCRIBE-OBJECTS | gverbs.zil | | |
| DESCRIBE-ROOM | gverbs.zil | | |
| DO-FIGHT | 1actions.zil | | |
| DO-SL | gparser.zil | | |
| DO-WALK | gverbs.zil | | |
| DOME-PSEUDO | 1actions.zil | | |
| DOME-ROOM-FCN | 1actions.zil | | |
| DOOR-PSEUDO | 1actions.zil | | |
| DROP-JUNK | 1actions.zil | | |
| DUMB-CONTAINER | 1actions.zil | | |
| EAST-HOUSE | 1actions.zil | | |
| EGG-OBJECT | 1actions.zil | | |
| FALLS-ROOM | 1actions.zil | | |
| FIGHT-STRENGTH | 1actions.zil | | |
| FIND-IN | gverbs.zil | | |
| FIND-WEAPON | 1actions.zil | | |
| FINISH | gverbs.zil | | |
| FIRSTER | gverbs.zil | | |
| FIX-BOAT | 1actions.zil | | |
| FIX-MAINT-LEAK | 1actions.zil | | |
| FLY-ME | 1actions.zil | | |
| FOREST-F | 1actions.zil | | |
| FOREST-ROOM | 1actions.zil | | |
| FOREST-ROOM? | 1actions.zil | | |
| FRONT-DOOR-FCN | 1actions.zil | | |
| FWEEP | 1actions.zil | | |
| GARLIC-F | 1actions.zil | | |
| GAS-PSEUDO | 1actions.zil | | |
| GATE-PSEUDO | 1actions.zil | | |
| GET-OBJECT | gparser.zil | | |
| GHOSTS-F | 1actions.zil | | |
| GLOBAL-CHECK | gparser.zil | | |
| GLOBAL-IN? | gverbs.zil | | |
| GO | 1dungeon.zil | | |
| GO-NEXT | 1actions.zil | | |
| GOTO | gverbs.zil | | |
| GRANITE-WALL-F | 1actions.zil | | |
